Country of Origin,CountryID,Latitude,Longitude,Total
Afghanistan,AF,33.9391,67.71,372
Bangladesh,BD,23.685,90.3563,39
Bhutan,BT,27.5142,90.4336,1272765
China,CN,22.3193,114.1694,327238
Democratic Republic of the Congo,CD,4.0383,21.7587,25
Ethiopia,ET,9.145,40.4897,20
India,IN,20.5937,78.9629,3380
Iran (Islamic Republic of),IR,32.4279,53.688,82
Iraq,IQ,33.2232,43.6793,79
Liberia,LY,6.4281,9.4295,13
Myanmar,MM,21.9162,95.956,1846
Nepal,NP,28.3949,84.124,201619
Niger,NE,17.6078,8.0817,5
Nigeria,NG,9.082,8.6753,11
Pakistan,PK,30.3753,69.3451,3512
Somalia,SO,5.1521,46.1996,770
Sri Lanka,LK,7.8731,80.7718,213
Yemen,YE,15.5527,48.5164,5
