Object-ID,Country,Lat,Long,Total Nepalese Seeking Asylum 2000-2020
1,Albania,41.1533,20.1683,9
2,Argentina,38.4161,63.6167,8
3,Australia,25.2744,133.7751,4458
4,Austria,47.5162,14.5501,844
5,Azerbaijan,40.1431,47.5769,22
6,Belgium,50.5037,4.4699,4511
7,Bosnia and Herzegovina,43.9159,17.6791,18
8,Brazil,14.235,51.9253,409
9,Bulgaria,42.7339,25.4858,29
10,Cambodia,12.5657,104.991,5
11,Canada,56.1304,106.3468,1903
12,Chile,35.6751,71.543,6
13,"China, Hong Kong Special Administrative Region",22.3193,114.1694,1184
14,Colombia,4.5709,74.2973,111
15,Costa Rica,9.7489,83.7534,220
16,Croatia,45.1,15.2,5
17,Cyprus,35.1264,33.4299,2061
18,Czechia,49.8175,15.473,5
19,Democratic Republic of the Congo,4.0383,21.7587,5
20,Denmark,56.2639,9.5018,163
21,Ecuador,1.8312,78.1834,58
22,Estonia,58.5953,25.0136,5
23,Finland,61.9241,25.7482,128
24,France,46.2276,2.2137,1870
25,Georgia,42.3154,43.3569,19
26,United Kingdom of Great Britain and Northern Ireland,55.3781,3.436,
27,Germany,51.1567,10.4515,1540
28,Greece,39.0742,21.8243,534
29,Guatemala,15.7835,90.2308,98
30,Honduras,15.2,86.2419,6
31,Hungary,47.1625,19.5033,148
32,Indonesia,0.7893,113.9213,53
33,Ireland,53.1424,7.6921,282
34,Israel,31.0461,34.8516,253
35,Italy,41.8719,12.5674,442
36,Japan,36.2048,138.2529,17311
37,Kuwait,29.3117,47.4818,5
38,Latvia,56.8796,24.6032,10
39,Lithuania,55.1694,23.8813,5
40,Luxembourg,49.8153,6.1296,5
41,Malaysia,4.2105,101.9758,386
42,Malta,35.9375,14.3754,29
43,Mexico,23.6345,102.5528,89
44,Micronesia,7.4256,150.5508,26
45,Montenegro,42.7087,19.3744,32
46,Nauru,0.5228,166.9315,15
47,Netherlands,52.1326,5.2913,1329
48,Nicaragua,12.8654,85.2072,41
49,Norway,60.472,8.4689,1554
50,New Zealand,40.9006,174.886,145
51,Panama,8.538,80.7821,18
52,Papua New Guinea,6.315,143.9555,17
53,Peru,9.19,75.0152,15
54,Poland,51.9194,19.1451,149
55,Portugal,39.3999,8.2245,16
56,Republic of Korea,35.9078,127.7669,1858
57,Romania,45.9432,24.9668,25
58,Russia,61.524,105.3188,10
59,Senegal,14.4974,14.4524,5
60,Serbia,44.0165,21.0059,9
61,Slovakia,48.669,19.699,124
62,Slovenia,46.1512,14.9955,37
63,South Africa,30.5595,22.9375,562
64,Spain,40.4637,3.7492,124
65,Sri Lanka,7.8731,80.7718,5
66,Sweden,60.1282,18.6435,709
67,Switzerland,46.8182,8.2275,530
68,Thailand,15.87,100.9925,393
69,Turkey,38.9637,35.2433,28
70,Ukraine,48.3794,31.1615,59
71,United Kingdom of Great Britain and Northern Ireland,55.3781,3.436,2612
72,United States of America,37.0902,95.7129,19910
