Year,Country of Asylum,CountryID,Latitude,Longitude,Number of Applications
2013,Australia,AU,25.2744,133.7751,395
2013,Austria,AT,47.5162,14.5501,25
2013,Belgium,BE ,50.5037,4.4699,63
2013,Brazil,BR,14.235,51.9253,14
2013,Canada,CA,56.1304,106.3468,22
2013,"China, Hong Kong Special Administrative Region",CN,22.3193,114.1694,17
2013,Colombia,CO,4.5709,74.2973,7
2013,Costa Rica,CR,9.7489,83.7534,8
2013,Cyprus,CY,35.1264,33.4299,5
2013,Denmark,DK,56.2639,9.5018,12
2013,France,FR,46.2276,2.2137,186
2013,Germany,DE,51.1567,10.4515,17
2013,Greece,GR,39.0742,21.8243,17
2013,Hungary,HU,47.1625,19.5033,6
2013,Indonesia,ID,0.7893,113.9213,11
2013,Ireland,IE,53.1424,7.6921,5
2013,Italy,IT,41.8719,12.5674,5
2013,Japan,JP,36.2048,138.2529,951
2013,Netherlands,NL,52.1326,5.2913,92
2013,New Zealand,NZ,40.9006,174.886,5
2013,Nicaragua,NI,12.8654,85.2072,5
2013,Norway,NO,60.472,8.4689,23
2013,Poland,PL,51.9194,19.1451,5
2013,Republic of Korea,KR,35.9078,127.7669,90
2013,Romania,RO,45.9432,24.9668,5
2013,South Africa,ZA,30.5595,22.9375,36
2013,Spain,ES,40.4637,3.7492,5
2013,Sweden,SE,60.1282,18.6435,28
2013,Switzerland,CH,46.8182,8.2275,37
2013,Thailand,TH,15.87,100.9925,7
2013,Turkey,TR,38.9637,35.2433,11
2013,United Kingdom of Great Britain and Northern Ireland,GB,55.3781,3.436,87
2013,United States of America,US,37.0902,95.7129,1507
