Year,Country of Origin,CountryID,Latitude,Longitude,Total
2016,Afghanistan,AF,33.9391,67.71,59
2016,Bangladesh,BD,23.685,90.3563,12
2016,Bhutan,BT,27.5142,90.4336,11213
2016,Democratic Republic of the Congo,CD,4.0383,21.7587,5
2016,India,IN,20.5937,78.9629,264
2016,Iran (Islamic Republic of),IR,32.4279,53.688,5
2016,Sri Lanka,LK,7.8731,80.7718,22
2016,Myanmar,MM,21.9162,95.956,207
2016,Nepal,,28.3949,84.124,585
2016,Pakistan,PK,30.3753,69.3451,262
2016,Somalia,SO,5.1521,46.1996,26
2016,Tibetan,54,30.1534,88.7879,13509
