ISO3,Name,Year,Start Date,Event Name,Hazard Category,Hazard Type,New Displacements,Totals
#country+code,#country+name,#date+year,#date+start,#description,#crisis+category,#crisis+type,#affected+idps+ind+newdisp+disaster,
NPL,Nepal,2008,7/1/2008,,Weather related,Flood,70000,250000
NPL,Nepal,2008,9/22/2008,,Weather related,Flood,180000,
NPL,Nepal,2009,1/1/2009,,Weather related,Flood,18300,18300
NPL,Nepal,2010,1/1/2010,,Weather related,Flood,,
NPL,Nepal,2010,1/1/2010,,Weather related,Flood,,
NPL,Nepal,2011,1/1/2011,,Geophysical,Earthquake,46476,46476
NPL,Nepal,2011,1/1/2011,,Weather related,Flood,,
NPL,Nepal,2011,1/1/2011,,Weather related,Wet mass movement,,
NPL,Nepal,2011,1/1/2011,,Weather related,Wet mass movement,,
NPL,Nepal,2012,1/1/2012,,Weather related,Flood,,
NPL,Nepal,2012,1/1/2012,,Weather related,Flood,600,600
NPL,Nepal,2013,6/1/2013,Monsoon Floods,Weather related,Flood,12474,12474
NPL,Nepal,2014,8/2/2014,Sindhupalanchok landslide,Weather related,Wet mass movement,40000,74400
NPL,Nepal,2014,8/14/2014,"Floods in Siraha, Dang, Surkhet, Banke, Bardiya and Kailali districts",Weather related,Flood,34400,
NPL,Nepal,2015,4/25/2015,Gorkha earthquake,Geophysical,Earthquake,2622733,2622828
NPL,Nepal,2015,7/29/2015,Kaski landslide,Weather related,Wet mass movement,95,
NPL,Nepal,2016,3/3/2016,Forest Fires,Weather related,Wildfire,1023,31338
NPL,Nepal,2016,7/1/2016,Monsoon floods and landslides,Weather related,Flood,30315,
NPL,Nepal,2017,12/22/2017,"Nepal : Landslides Okhaldhunga, Khotang,Palpa,Lalitpur,Lalitpur,Dhading, Solukhumbu, Shankhuwasabha, Bajura   - 22/09/2017 (year report)",Weather related,Wet mass movement,602,383904
NPL,Nepal,2017,8/11/2017,Nepal : monsoon floods - 35 districts - 11/08/2017,Weather related,Flood,380963,
NPL,Nepal,2017,7/5/2017,Nepal: Saptari Floods - Jul 2017,Weather related,Flood,1500,
NPL,Nepal,2017,6/30/2017,Nepal : Landslides 15  districts  - Jul 2017,Weather related,Wet mass movement,120,
NPL,Nepal,2017,4/14/2017,Nepal : Phidim wildfire - 14/04/2017,Weather related,Wildfire,22,
NPL,Nepal,2017,5/25/2017,"Nepal : Wind Storm  - Dang, Chitawan, Siraha, Rautahat, Bardiya, Dhanusha, Jhapa, Morang - 23/05/2017 (year report)",Weather related,Storm,697,
NPL,Nepal,2018,5/28/2018,Nepal: Flash flood - Mandavi Rural Municipality; Pyuthan - 28/05/2018,Weather related,Flood,4,12296
NPL,Nepal,2018,8/12/2018,Nepal: Landslide - Kedarsiu Rural Municipality; Bajhang - 12/08/2018,Weather related,Wet mass movement,3,
NPL,Nepal,2018,8/15/2018,Nepal: Landslide - Baglung - 15/08/2018,Weather related,Wet mass movement,11,
NPL,Nepal,2018,8/7/2018,Nepal: Landslide - Phalelung Rural Municipality; Panchthar district - 07/08/2018,Weather related,Wet mass movement,4,
NPL,Nepal,2018,8/6/2018,Nepal: Landslides - Gorkha; Shyanja; Okhaldhunga; Nuwakot districts - 06/08/2018,Weather related,Wet mass movement,22,
NPL,Nepal,2018,8/5/2018,Nepal: Flash flood - Dang; Banke; Shyanja districts - 05/08/2018,Weather related,Flood,13,
NPL,Nepal,2018,8/14/2018,Nepal: Flood - Nalgad; Jajarkot - 14/08/2018,Weather related,Wet mass movement,430,
NPL,Nepal,2018,8/3/2018,Nepal: Flash flood - Humla; Kaski districts - 03/08/2018,Weather related,Flood,17,
NPL,Nepal,2018,8/15/2018,Nepal: Landslide - Malika Rural Muncipality; Myagdi - 15/08/2018,Weather related,Wet mass movement,13,
NPL,Nepal,2018,8/8/2018,Nepal: Flash flood - Gaurishankar Rural Municipality; Dolakha district - 08/08/2018,Weather related,Flood,13,
NPL,Nepal,2018,7/12/2018,Nepal: Floods; landslides - Naugud Rural Municipality; Darchula - 12/07/2018,Weather related,Flood,228,
NPL,Nepal,2018,8/3/2018,Nepal: Landslide - Mahabharat Rural Municipality; Kavrepalanchowk districts - 03/08/2018,Weather related,Wet mass movement,4,
NPL,Nepal,2018,8/19/2018,Nepal: Landslide - Kageshworimanohara Municipality; Kathmandu district - 19/08/2018,Weather related,Wet mass movement,4,
NPL,Nepal,2018,8/19/2018,Nepal: Flash flood - Rukum East; Achhaam; Dolpa districts - 19/08/2018,Weather related,Flood,17,
NPL,Nepal,2018,8/22/2018,"Nepal: Flash floods - Dolpa; Jajarkot; Humla; Bara; Nuwakot, Kathmandu districts - 22/08/2018",Weather related,Wet mass movement,73,
NPL,Nepal,2018,8/23/2018,Nepal: Landslide - Bheri Municipality; Jajarkot district - 22/08/2018,Weather related,Wet mass movement,4,
NPL,Nepal,2018,8/8/2018,Nepal: Landslides - Gorkha; Kavrepalanchowk districts - 08/08/2018,Weather related,Wet mass movement,12,
NPL,Nepal,2018,8/24/2018,Nepal: Landslides - Rolpa; Panchthar districts - 24/08/2018,Weather related,Wet mass movement,9,
NPL,Nepal,2018,8/25/2018,Nepal: Flash floods - Achhaam; Rolpa districts - 25/08/2018,Weather related,Flood,9,
NPL,Nepal,2018,8/2/2018,Nepal: Flash flood - Humla; Baglung districts - 02/08/2018,Weather related,Flood,13,
NPL,Nepal,2018,8/28/2018,Nepal: Landslide - Chhatreshwori Rural Municipality; Salyan district - 28/08/2018,Weather related,Wet mass movement,13,
NPL,Nepal,2018,8/1/2018,Nepal: Landslide - Savapokhari Rural Municipality; Shankhuwasabha districts - 01/08/2018,Weather related,Wet mass movement,4,
NPL,Nepal,2018,8/1/2018,Nepal: Flash flood - Surkhet; Humla; Rukum West districts - 01/08/2018,Weather related,Flood,17,
NPL,Nepal,2018,8/29/2018,Nepal: Flood - Biratnagar Metropolis-8; Morang - 29/08/2018,Weather related,Flood,86,
NPL,Nepal,2018,7/5/2018,Nepal: Landslide - Pokharalekhnath Metropolitan City; Kaski district - 05/07/2018,Weather related,Wet mass movement,4,
NPL,Nepal,2018,8/26/2018,Nepal: Flash floods - Dolpa district - 26/08/2018,Weather related,Flood,9,
NPL,Nepal,2018,7/5/2018,Nepal: Storm - Taplejung; Sunsari districts - 05/07/2018,Weather related,Storm,9,
NPL,Nepal,2018,7/6/2018,Nepal: Storm - Katahariya Municipality; Rautahat district - 06/07/2018,Weather related,Storm,4,
NPL,Nepal,2018,8/28/2018,Nepal: Flash floods - Salyan; Humla districts - 28/08/2018,Weather related,Flood,9,
NPL,Nepal,2018,7/21/2018,Nepal: Flash flood - Arjunchaupari Rural Municipality; Shyanja district - 21/07/2018,Weather related,Flood,4,
