Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Application Type Code,Application Type,Application Data Type,Application Data,Application Average Persons Per Case,Number of Applications,,
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+procedure_type,#indicator+procedure+name,#indicator+application_type+code,#indicator+application_type,#indicator+application_data_type,#indicator+application_data,#indicator+application_average_persons+num,#inneed+asylum_seekers+applications,,
2000,NPL,AUS,Nepal,Australia,G,Government,V,,C,Cases,0,90,,
2000,NPL,AUS,Nepal,Australia,G,Government,V,,C,Cases,0,103,,
2000,NPL,AUT,Nepal,Austria,G,Government,V,,P,Persons,0,34,,
2000,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,366,,
2000,NPL,CAN,Nepal,Canada,G,Government,V,,P,Persons,0,18,,
2000,NPL,DNK,Nepal,Denmark,G,Government,V,,P,Persons,0,15,,
2000,NPL,FRA,Nepal,France,G,Government,V,,P,Persons,0,6,,
2000,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,68,,
2000,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,69,,
2000,NPL,HUN,Nepal,Hungary,G,Government,V,,P,Persons,0,5,,
2000,NPL,NLD,Nepal,Netherlands,G,Government,V,,P,Persons,0,89,,
2000,NPL,NOR,Nepal,Norway,G,Government,V,,P,Persons,0,26,,
2000,NPL,SVK,Nepal,Slovakia,G,Government,V,,P,Persons,0,14,,
2000,NPL,CHE,Nepal,Switzerland,G,Government,V,,P,Persons,0,22,,
2000,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,57,,
2000,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,28,,1010
2001,NPL,AUS,Nepal,Australia,G,Government,V,,C,Cases,0,57,,
2001,NPL,AUS,Nepal,Australia,G,Government,V,,C,Cases,0,92,,
2001,NPL,AUT,Nepal,Austria,G,Government,V,,P,Persons,0,23,,
2001,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,5,,
2001,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,550,,
2001,NPL,CAN,Nepal,Canada,G,Government,V,,P,Persons,0,51,,
2001,NPL,DNK,Nepal,Denmark,G,Government,V,,P,Persons,0,5,,
2001,NPL,FRA,Nepal,France,G,Government,V,,P,Persons,0,7,,
2001,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,G,Government,V,,C,Cases,0,640,,
2001,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,175,,
2001,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,23,,
2001,NPL,HUN,Nepal,Hungary,G,Government,V,,P,Persons,0,6,,
2001,NPL,MYS,Nepal,Malaysia,U,UNHCR,V,,P,Persons,0,5,,
2001,NPL,NLD,Nepal,Netherlands,G,Government,V,,P,Persons,0,12,,
2001,NPL,NOR,Nepal,Norway,G,Government,V,,P,Persons,0,97,,
2001,NPL,NZL,Nepal,New Zealand,G,Government,V,,P,Persons,0,17,,
2001,NPL,ESP,Nepal,Spain,G,Government,V,,P,Persons,0,16,,
2001,NPL,SVK,Nepal,Slovakia,G,Government,V,,P,Persons,0,14,,
2001,NPL,SWE,Nepal,Sweden,G,Government,V,,P,Persons,0,6,,
2001,NPL,CHE,Nepal,Switzerland,G,Government,V,,P,Persons,0,38,,
2001,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,69,,
2001,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,53,,1961
2002,NPL,AUS,Nepal,Australia,G,Government,V,,C,Cases,0,97,,
2002,NPL,AUS,Nepal,Australia,G,Government,V,,P,Persons,0,73,,
2002,NPL,AUT,Nepal,Austria,G,Government,V,,P,Persons,0,117,,
2002,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,181,,
2002,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,210,,
2002,NPL,CAN,Nepal,Canada,G,Government,V,,P,Persons,0,79,,
2002,NPL,DNK,Nepal,Denmark,G,Government,V,,P,Persons,0,20,,
2002,NPL,FIN,Nepal,Finland,G,Government,V,,P,Persons,0,5,,
2002,NPL,FRA,Nepal,France,G,Government,V,,P,Persons,0,10,,
2002,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,311,,
2002,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,41,,
2002,NPL,NLD,Nepal,Netherlands,G,Government,V,,P,Persons,0,37,,
2002,NPL,NOR,Nepal,Norway,G,Government,V,,P,Persons,0,64,,
2002,NPL,NZL,Nepal,New Zealand,G,Government,V,,P,Persons,0,5,,
2002,NPL,SVK,Nepal,Slovakia,G,Government,V,,P,Persons,0,67,,
2002,NPL,SWE,Nepal,Sweden,G,Government,V,,P,Persons,0,33,,
2002,NPL,CHE,Nepal,Switzerland,G,Government,V,,P,Persons,0,52,,
2002,NPL,USA,Nepal,United States of America,G,Government,N,New,P,Persons,0,114,,
2002,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,172,,1688
2003,NPL,AUS,Nepal,Australia,G,Government,V,,C,Cases,0,44,,
2003,NPL,AUS,Nepal,Australia,G,Government,V,,P,Persons,0,57,,
2003,NPL,AUT,Nepal,Austria,G,Government,V,,P,Persons,0,33,,
2003,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,48,,
2003,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,100,,
2003,NPL,CAN,Nepal,Canada,G,Government,V,,P,Persons,0,66,,
2003,NPL,DNK,Nepal,Denmark,G,Government,V,,P,Persons,0,17,,
2003,NPL,FIN,Nepal,Finland,G,Government,V,,P,Persons,0,5,,
2003,NPL,FRA,Nepal,France,G,Government,V,,P,Persons,0,15,,
2003,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,G,Government,V,,P,Persons,0,229,,
2003,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,173,,
2003,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,35,,
2003,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,V,,P,Persons,0,12,,
2003,NPL,MYS,Nepal,Malaysia,U,UNHCR,V,,P,Persons,0,9,,
2003,NPL,NLD,Nepal,Netherlands,G,Government,V,,P,Persons,0,59,,
2003,NPL,NOR,Nepal,Norway,G,Government,V,,P,Persons,0,47,,
2003,NPL,NZL,Nepal,New Zealand,G,Government,V,,P,Persons,0,5,,
2003,NPL,ESP,Nepal,Spain,G,Government,V,,P,Persons,0,11,,
2003,NPL,SVK,Nepal,Slovakia,G,Government,V,,P,Persons,0,5,,
2003,NPL,SWE,Nepal,Sweden,G,Government,V,,P,Persons,0,20,,
2003,NPL,CHE,Nepal,Switzerland,G,Government,V,,P,Persons,0,41,,
2003,NPL,THA,Nepal,Thailand,U,UNHCR,V,,P,Persons,0,14,,
2003,NPL,USA,Nepal,United States of America,G,Government,N,New,P,Persons,0,240,,
2003,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,314,,1599
2004,NPL,AUS,Nepal,Australia,G,Government,V,,C,Cases,0,48,,
2004,NPL,AUS,Nepal,Australia,G,Government,V,,P,Persons,0,40,,
2004,NPL,AUT,Nepal,Austria,G,Government,V,,P,Persons,0,69,,
2004,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,136,,
2004,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,373,,
2004,NPL,CAN,Nepal,Canada,G,Government,V,,P,Persons,0,67,,
2004,NPL,CYP,Nepal,Cyprus,G,Government,V,,P,Persons,0,87,,
2004,NPL,DNK,Nepal,Denmark,G,Government,V,,P,Persons,0,6,,
2004,NPL,FRA,Nepal,France,G,Government,V,,P,Persons,0,20,,
2004,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,G,Government,V,,P,Persons,0,104,,
2004,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,130,,
2004,NPL,DEU,Nepal,Germany,G,Government,V,,P,Persons,0,26,,
2004,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,V,,P,Persons,0,278,,
2004,NPL,HUN,Nepal,Hungary,G,Government,V,,P,Persons,0,24,,
2004,NPL,IRL,Nepal,Ireland,G,Government,V,,P,Persons,0,18,,
2004,NPL,ISR,Nepal,Israel,G,Government,V,,P,Persons,0,6,,
2004,NPL,JPN,Nepal,Japan,G,Government,V,,P,Persons,0,5,,
2004,NPL,MYS,Nepal,Malaysia,U,UNHCR,V,,P,Persons,0,18,,
2004,NPL,NLD,Nepal,Netherlands,G,Government,V,,P,Persons,0,156,,
2004,NPL,NOR,Nepal,Norway,G,Government,V,,P,Persons,0,91,,
2004,NPL,NZL,Nepal,New Zealand,G,Government,V,,P,Persons,0,8,,
2004,NPL,NZL,Nepal,New Zealand,G,Government,V,,P,Persons,0,7,,
2004,NPL,POL,Nepal,Poland,G,Government,V,,P,Persons,0,5,,
2004,NPL,ESP,Nepal,Spain,G,Government,V,,P,Persons,0,5,,
2004,NPL,SVK,Nepal,Slovakia,G,Government,V,,P,Persons,0,12,,
2004,NPL,SWE,Nepal,Sweden,G,Government,V,,P,Persons,0,35,,
2004,NPL,CHE,Nepal,Switzerland,G,Government,V,,P,Persons,0,25,,
2004,NPL,THA,Nepal,Thailand,U,UNHCR,V,,P,Persons,0,54,,
2004,NPL,USA,Nepal,United States of America,G,Government,N,New,P,Persons,0,23,,
2004,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,298,,2174
2005,NPL,AUS,Nepal,Australia,G,Government,V,,C,Cases,0,60,,
2005,NPL,AUS,Nepal,Australia,G,Government,V,,P,Persons,0,73,,
2005,NPL,AUT,Nepal,Austria,G,Government,V,,P,Persons,0,78,,
2005,NPL,BEL,Nepal,Belgium,G,Government,V,,P,Persons,0,305,,
