Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Internally Displaced Persons,Asylum-seekers,Others of Concern to UNHCR,Stateless Persons,Venezuelans Displaced Abroad
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#affected+refugees,#affected+idps,#affected+asylum_seekers,#affected+others,#affected+stateless,#affected+vda
1994,NPL,CAN,Nepal,Canada,5,0,0,0,0,0
1995,NPL,CAN,Nepal,Canada,5,0,0,0,0,0
1995,NPL,FRA,Nepal,France,5,0,0,0,0,0
1995,NPL,USA,Nepal,United States of America,17,0,0,0,0,0
1996,NPL,AUS,Nepal,Australia,6,0,0,0,0,0
1996,NPL,CAN,Nepal,Canada,9,0,0,0,0,0
1996,NPL,FRA,Nepal,France,5,0,0,0,0,0
1996,NPL,USA,Nepal,United States of America,24,0,0,0,0,0
1997,NPL,AUS,Nepal,Australia,9,0,0,0,0,0
1997,NPL,CAN,Nepal,Canada,16,0,0,0,0,0
1997,NPL,USA,Nepal,United States of America,24,0,0,0,0,0
1998,NPL,AUS,Nepal,Australia,21,0,0,0,0,0
1998,NPL,CAN,Nepal,Canada,19,0,0,0,0,0
1998,NPL,FRA,Nepal,France,5,0,0,0,0,0
1998,NPL,USA,Nepal,United States of America,50,0,0,0,0,0
1999,NPL,AUS,Nepal,Australia,26,0,0,0,0,0
1999,NPL,CAN,Nepal,Canada,39,0,0,0,0,0
1999,NPL,USA,Nepal,United States of America,113,0,0,0,0,0
2000,NPL,AUS,Nepal,Australia,27,0,181,0,0,0
2000,NPL,CAN,Nepal,Canada,28,0,19,0,0,0
2000,NPL,DNK,Nepal,Denmark,0,0,5,0,0,0
2000,NPL,DEU,Nepal,Germany,0,0,64,0,0,0
2000,NPL,NLD,Nepal,Netherlands,0,0,25,0,0,0
2000,NPL,SVK,Nepal,Slovakia,0,0,11,0,0,0
2000,NPL,CHE,Nepal,Switzerland,0,0,16,0,0,0
2000,NPL,USA,Nepal,United States of America,172,0,123,0,0,0
2001,NPL,AUS,Nepal,Australia,23,0,203,0,0,0
2001,NPL,CAN,Nepal,Canada,38,0,49,0,0,0
2001,NPL,DNK,Nepal,Denmark,0,0,10,0,0,0
2001,NPL,DEU,Nepal,Germany,0,0,107,0,0,0
2001,NPL,NLD,Nepal,Netherlands,0,0,20,0,0,0
2001,NPL,NOR,Nepal,Norway,9,0,0,0,0,0
2001,NPL,SVK,Nepal,Slovakia,0,0,9,0,0,0
2001,NPL,CHE,Nepal,Switzerland,0,0,15,0,0,0
2001,NPL,USA,Nepal,United States of America,230,0,137,0,0,0
2002,NPL,AUS,Nepal,Australia,34,0,60,0,0,0
