,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0,0,0,0,0,0,0,0,90,141,378,179,219,347,253,349,628,823,804,829,785
Albania,598,699,734,889,"1,161","1,290","1,359","1,468","1,866","1,718","1,587","1,552","1,420","1,282","1,421","1,291","1,306","1,312","1,458","1,473","1,386"
Algeria,0,0,0,0,0,170,189,99,104,150,197,203,215,210,"2,452","1,997","1,989","1,792","1,792","1,792","1,643"
American Samoa,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,
Angola,0,0,0,0,0,0,0,0,82,0,18,0,40,37,31,11,4,1,2,3,3
Antigua and Barbuda,17,24,14,16,18,18,19,21,22,21,20,20,21,21,32,31,27,24,25,25,16
Argentina,86,190,207,273,312,432,541,606,705,629,644,697,578,535,505,494,392,480,507,528,496
Armenia,182,209,264,336,788,915,"1,169","1,644","1,904","1,440","1,669","1,799","1,915","2,192","2,079","1,491","1,382","1,539","1,488","1,528","1,143"
Aruba,1,1,1,0,1,1,1,5,7,9,5,5,5,6,7,8,53,56,37,34,59
Australia,"1,904","1,782","1,769","2,325","2,838",940,"1,015","1,342","1,526","1,335","1,864","2,449","2,405","2,389","2,292","2,175","2,057","2,002","1,861","1,754","1,556"
Austria,"2,068","1,799","1,810","1,809","1,809","1,779","1,983","2,498","2,526","3,102","2,983","3,251","3,028","3,262","3,240","2,864","2,888","2,957","3,108","3,045","2,898"
Azerbaijan,57,104,163,156,204,623,790,"1,268","1,518","1,255","1,410","1,893","1,990","1,733","1,846","1,270",643,"1,133","1,226","1,275","1,146"
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,
Bangladesh,"1,968","2,105","2,858","3,192","3,584","4,315","5,428","6,562","8,941","10,521","10,850","12,071","14,120","13,867","14,988","15,296","13,574","13,502","15,566","18,363","19,758"
Barbados,113,130,125,131,129,94,87,139,101,114,82,147,152,191,189,198,156,108,108,108,94
Belarus,114,67,81,164,239,199,268,288,583,504,575,891,"1,053","1,214","1,231",932,977,"1,254","1,446","1,419","1,312"
Belgium,0,0,"4,535","5,778","6,563","6,884","7,269","8,992","10,479","11,091","10,994","11,729","11,171","11,695","12,161","10,465","10,786","11,435","12,444","12,157","13,122"
Belize,25,28,27,32,34,45,64,73,76,79,78,75,76,74,80,85,97,90,93,97,93
Benin,86,83,76,55,63,147,196,241,208,126,140,172,208,249,305,214,222,196,199,205,195
Bermuda,0,0,0,0,0,0,"1,183","1,450","1,391","1,346","1,261","1,175","1,191","1,225","1,336","1,445","1,446","1,506","1,444","1,605","1,717"
Bhutan,0,0,0,0,0,0,2,3,4,5,8,10,18,12,14,20,34,43,58,57,54
Bolivia,127,135,113,158,211,337,603,"1,055","1,135","1,058",960,"1,043","1,111","1,201","1,177","1,191","1,247","1,408","1,388","1,332","1,209"
Bosnia and Herzegovina,"1,581","1,500","1,496","1,738","2,053","2,038","2,149","2,687","2,718","2,127","1,822","1,958","1,846","1,958","2,107","1,801","1,846","2,017","2,263","2,261","1,607"
Botswana,19,18,19,27,79,118,104,92,47,15,22,20,20,36,46,30,25,36,32,50,43
Brazil,"1,350","1,449","2,004","2,287","2,813","2,805","3,287","3,306","3,643","2,889","3,083","3,215","2,784","2,718","2,648","2,897","2,740","2,699","2,933","3,214","3,358"
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,0
